iso alpha2;iso alpha3;iso numeric;fips code;name;capital;areaInSqKm;population;continent;languages;currency;geonameId
UA;UKR;804;UP;“êðàèíà;Šèåâ;603700.0;45415596;EU;uk,ru-UA,rom,pl,hu;UAH;690791
UG;UGA;800;UG;“ãàíäà;Šàìïàëà;236040.0;33398682;AF;en-UG,lg,sw,ar;UGX;226074
UM;UMI;581;;‚íåøíèå ìàëûå îñòðîâà (‘˜€);;0.0;0;OC;en-UM;USD;5854968
US;USA;840;US;‘˜€;‚àøèíãòîí;9629091.0;310232863;NA;en-US,es-US,haw,fr;USD;6252001
UY;URY;858;UY;“ðóãâàé;Œîíòåâèäåî;176220.0;3477000;SA;es-UY;UYU;3439705
UZ;UZB;860;UZ;“çáåêèñòàí;’àøêåíò;447400.0;27865738;AS;uz,ru,tg;UZS;1512440
VA;VAT;336;VT;‚àòèêàí;‚àòèêàí;0.44;921;EU;la,it,fr;EUR;3164670
VC;VCT;670;VC;‘åíò-‚èíñåíò è ƒðåíàäèíû;Šèíãñòàóí;389.0;104217;NA;en-VC,fr;XCD;3577815
VE;VEN;862;VE;‚åíåñóýëà;Šàðàêàñ;912050.0;27223228;SA;es-VE;VEF;3625428
VG;VGB;92;VI;ðèòàíñêèå ‚èðãèíñêèå î-âà;Road Town;153.0;21730;NA;en-VG;USD;3577718
VI;VIR;850;VQ;‚èðãèíñêèå î-âà (‘˜€);˜àðëîòà €ìàëèß;352.0;108708;NA;en-VI;USD;4796775
VN;VNM;704;VM;‚üåòíàì;•àíîé;329560.0;89571130;AS;vi,en,fr,zh,km;VND;1562822
VU;VUT;548;NH;‚àíóàòó;îðò-‚èëà;12200.0;221552;OC;bi,en-VU,fr-VU;VUV;2134431
WF;WLF;876;WF;“îëëèñ è ”óòóíà;Œàòà-“òó;274.0;16025;OC;wls,fud,fr-WF;XPF;4034749
WS;WSM;882;WS;‘àìîà;€ïèà;2944.0;192001;OC;sm,en-WS;WST;4034894
XK;XKX;0;KV;Šîñîâî;ðèøòèíà;;1800000;EU;sq,sr;EUR;831053
YE;YEM;887;YM;‰åìåí;‘àíà;527970.0;23495361;AS;ar-YE;YER;69543
YT;MYT;175;MF;Œàéîòòà;Œàìóäçó;374.0;159042;AF;fr-YT;EUR;1024031
ZA;ZAF;710;SF;ž€;ðåòîðèß;1219912.0;49000000;AF;zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr;ZAR;953987
ZM;ZMB;894;ZA;‡àìáèß;‹óñàêà;752614.0;13460305;AF;en-ZM,bem,loz,lun,lue,ny,toi;ZMK;895949
ZW;ZWE;716;ZI;‡èìáàáâå;•àðàðå;390580.0;11651858;AF;en-ZW,sn,nr,nd;ZWL;878675
